Fecha,TMAX,TMIN,Prec
2026-01-01,28.4,12.7,0.0
2026-01-02,25.4,10.9,0.0
2026-01-03,22.3,9.9,0.0
2026-01-04,24.5,8.1,0.0
2026-01-05,28.1,11.4,0.0
2026-01-06,29.5,15.5,3.5
2026-01-07,24.1,15.1,7.2
2026-01-08,22.9,9.6,0.0
2026-01-09,24.3,12.3,0.0
2026-01-10,28.5,14.7,0.0
2026-01-11,35.2,16.8,0.0
2026-01-12,35.5,20.8,0.0
2026-01-13,27.1,17.5,1.4
2026-01-14,31.5,16.3,0.1
2026-01-15,30.1,18.1,16.8
2026-01-16,28.9,11.9,0.0
2026-01-17,32.6,16.6,1.4
2026-01-18,23.1,11.3,0.0
2026-01-19,22.6,7.5,0.0
2026-01-20,27.3,10.3,0.0
2026-01-21,29.8,14.6,0.0
2026-01-22,30.4,17.9,0.0
2026-01-23,31.7,17.3,0.0
2026-01-24,31.2,20.7,0.1
2026-01-25,32.4,21.1,0.5
2026-01-26,32.3,20.1,0.3
2026-01-27,30.5,17.9,0.0
2026-01-28,31.0,15.9,0.0
2026-01-29,30.9,16.1,0.0
2026-01-30,28.5,18.7,19.1
2026-01-31,28.7,17.1,0.0
2026-02-01,31.5,17.4,4.7
2026-02-02,33.4,21.1,1.1
2026-02-03,31.4,21.3,0.0
2026-02-04,26.9,16.0,0.1
2026-02-05,25.9,18.2,1.8
2026-02-06,27.4,11.2,0.0
2026-02-07,27.7,13.1,0.0
2026-02-08,29.9,14.5,0.0
2026-02-09,28.2,18.7,0.7
2026-02-10,31.3,15.5,0.0
2026-02-11,23.6,17.5,2.7
2026-02-12,27.8,12.9,0.0
2026-02-13,24.5,9.6,0.0
2026-02-14,26.3,14.0,0.7
2026-02-15,25.9,15.2,15.0
2026-02-16,29.3,14.9,0.0
2026-02-17,29.2,15.3,0.0
2026-02-18,30.6,15.5,0.5
2026-02-19,28.6,17.5,0.7
2026-02-20,29.1,8.4,0.0
2026-02-21,29.3,11.8,0.0
2026-02-22,28.9,15.5,0.2
2026-02-23,25.9,18.2,2.0
2026-02-24,26.0,15.9,0.0
2026-02-25,22.3,10.5,0.0
2026-02-26,24.5,7.5,0.0
2026-02-27,27.6,11.2,0.0
2026-02-28,28.3,15.3,0.0
2026-03-01,30.6,15.0,0.0
2026-03-02,29.7,17.4,5.6
2026-03-03,26.1,17.0,16.4
2026-03-04,28.7,12.5,0.0
2026-03-05,20.5,14.0,1.0
2026-03-06,21.7,12.6,0.7
2026-03-07,23.6,12.6,0.0
2026-03-08,23.9,9.7,0.0
2026-03-09,23.8,13.0,1.0
2026-03-10,25.0,12.8,0.0
2026-03-11,24.9,11.3,0.0
2026-03-12,24.6,14.1,0.1
2026-03-13,26.0,13.6,0.4
2026-03-14,21.4,16.9,13.2
2026-03-15,27.8,15.4,0.0
2026-03-16,23.3,14.3,24.1
2026-03-17,22.5,12.4,41.6
2026-03-18,23.6,8.4,0.0
2026-03-19,26.2,11.3,0.0
2026-03-20,22.4,14.1,23.7
2026-03-21,18.4,11.6,14.2
2026-03-22,22.6,8.9,0.1
2026-03-23,18.8,11.4,0.0
2026-03-24,24.3,9.0,0.0
2026-03-25,22.4,10.8,0.0
2026-03-26,24.7,9.3,0.0
2026-03-27,25.4,12.3,0.0
2026-03-28,26.2,15.4,6.8
2026-03-29,24.4,19.4,1.3
2026-03-30,26.3,20.1,0.3
2026-03-31,29.3,20.1,8.2
2026-04-01,24.9,20.3,5.7
2026-04-02,26.8,19.4,0.2
2026-04-03,28.3,13.7,1.5
2026-04-04,17.6,9.4,0.0
2026-04-05,18.0,5.3,0.0
2026-04-06,19.0,10.5,1.3
2026-04-07,20.1,14.0,2.1
2026-04-08,19.6,11.6,0.0
2026-04-09,20.1,7.8,0.0
2026-04-10,22.0,8.4,0.0
2026-04-11,21.9,10.6,0.0
2026-04-12,23.5,10.8,0.0
2026-04-13,22.8,9.9,0.0
2026-04-14,24.7,13.7,6.5
